link_id,scenario,tx_power_dbm,rx_sensitivity_dbm,system_margin_db,fiber_length_km,fiber_att_db_per_km,n_splice,splice_loss_db,n_connector,connector_loss_db,splitter_loss_db,other_loss_db
link_00001,base,2,-29,3,26.3,0.3,8,0.064,2,0.403,0.5,1.48
link_00002,base,2,-28,3,3.21,0.2,1,0.106,8,0.266,1.5,2.02
link_00003,base,4,-20,4,2.25,0.4,1,0.066,6,0.231,2.0,0.24
link_00004,base,6,-27,5,34.2,0.2,11,0.147,8,0.224,1.5,2.07
link_00005,base,6,-28,2,25.5,0.2,8,0.116,6,0.496,1.0,2.17
link_00006,base,8,-29,3,16.44,0.4,5,0.086,6,0.411,0.5,1.52
link_00007,base,4,-28,5,8.5,0.5,2,0.077,4,0.405,0.5,0.57
link_00008,base,6,-20,4,3.22,0.2,1,0.071,6,0.264,2.0,0.99
link_00009,base,8,-28,4,36.75,0.3,12,0.075,6,0.424,2.0,2.24
link_00010,base,4,-28,5,17.18,0.2,5,0.126,2,0.246,1.0,1.98
link_00011,base,2,-20,5,18.04,0.5,6,0.103,2,0.404,0.5,1.7
link_00012,base,6,-29,2,22.4,0.4,7,0.093,8,0.201,1.5,2.43
link_00013,base,2,-29,3,30.95,0.3,10,0.087,4,0.362,0.5,1.5
link_00014,base,2,-29,4,20.57,0.3,6,0.056,2,0.226,2.0,2.04
link_00015,base,4,-28,5,39.16,0.3,13,0.077,8,0.489,1.0,1.78
link_00016,base,6,-20,5,17.16,0.2,5,0.075,2,0.301,1.0,1.47
link_00017,base,2,-28,2,2.27,0.2,1,0.136,2,0.354,1.5,1.67
link_00018,base,4,-20,3,10.14,0.5,3,0.131,4,0.228,2.0,0.89
link_00019,base,2,-27,2,17.62,0.5,5,0.123,2,0.275,1.0,1.34
link_00020,base,4,-29,5,7.33,0.3,2,0.137,2,0.333,0.5,0.13
link_00021,base,2,-27,3,39.97,0.3,13,0.091,8,0.264,2.0,2.26
link_00022,base,2,-20,4,8.26,0.5,2,0.079,8,0.246,1.5,0.54
link_00023,base,2,-29,2,4.22,0.2,1,0.108,4,0.217,0.5,2.13
link_00024,base,2,-28,5,4.6,0.2,1,0.144,4,0.374,0.5,1.55
link_00025,base,6,-29,3,17.93,0.4,5,0.074,8,0.239,1.5,1.14
link_00026,base,2,-27,5,37.3,0.2,12,0.057,4,0.352,1.0,2.33
link_00027,base,4,-29,4,35.47,0.3,11,0.094,6,0.384,0.5,1.67
link_00028,base,2,-28,4,23.07,0.2,7,0.139,4,0.282,1.0,1.79
link_00029,base,6,-20,4,9.74,0.2,3,0.059,8,0.449,0.5,0.01
link_00030,base,6,-28,5,31.3,0.5,10,0.106,2,0.223,1.0,1.36
link_00031,base,4,-20,3,33.71,0.2,11,0.081,2,0.47,1.0,1.71
link_00032,base,6,-20,3,27.34,0.3,9,0.136,4,0.464,0.5,0.45
link_00033,base,8,-28,4,37.13,0.3,12,0.129,2,0.315,0.5,2.15
link_00034,base,8,-29,4,10.45,0.3,3,0.072,4,0.32,1.5,2.16
link_00035,base,6,-29,5,38.74,0.4,12,0.144,2,0.463,1.5,0.45
link_00036,base,6,-27,2,38.58,0.5,12,0.085,6,0.331,0.5,0.96
link_00037,base,6,-27,5,23.91,0.2,7,0.102,4,0.309,0.5,2.37
link_00038,base,6,-27,4,36.99,0.4,12,0.117,6,0.321,1.5,1.39
link_00039,base,8,-28,4,9.29,0.5,3,0.105,2,0.291,1.0,1.07
link_00040,base,6,-20,5,24.04,0.5,8,0.118,8,0.438,1.0,1.65
link_00041,base,6,-27,3,12.78,0.4,4,0.072,4,0.244,0.5,0.61
link_00042,base,2,-20,5,20.06,0.3,6,0.122,8,0.348,1.0,0.37
link_00043,base,2,-20,3,28.13,0.3,9,0.13,8,0.215,1.0,2.29
link_00044,base,4,-20,4,6.61,0.5,2,0.111,8,0.449,2.0,2.24
link_00045,base,8,-20,4,30.26,0.3,10,0.134,6,0.43,2.0,1.57
link_00046,base,2,-29,3,12.43,0.4,4,0.084,2,0.242,1.0,0.96
link_00047,base,4,-27,5,7.81,0.5,2,0.083,8,0.325,1.0,2.08
link_00048,base,2,-20,5,16.8,0.2,5,0.144,6,0.426,2.0,1.35
link_00049,base,4,-20,3,29.92,0.4,9,0.094,2,0.317,2.0,1.81
link_00050,base,4,-27,5,33.94,0.2,11,0.058,8,0.241,2.0,0.45
link_00051,base,6,-28,5,11.89,0.4,3,0.084,8,0.283,2.0,0.63
link_00052,base,2,-27,4,5.11,0.3,1,0.115,2,0.426,1.0,0.5
link_00053,base,4,-28,3,2.77,0.5,1,0.117,4,0.34,1.5,1.92
link_00054,base,2,-28,4,8.38,0.2,2,0.108,6,0.373,2.0,0.99
link_00055,base,2,-28,2,29.17,0.4,9,0.135,2,0.439,0.5,0.87
link_00056,base,6,-27,4,18.28,0.2,6,0.135,8,0.232,1.5,1.59
link_00057,base,4,-20,3,33.49,0.4,11,0.112,8,0.339,1.5,0.81
link_00058,base,2,-29,5,11.33,0.3,3,0.125,8,0.301,2.0,2.13
link_00059,base,4,-29,4,8.91,0.4,2,0.078,6,0.367,1.0,0.21
link_00060,base,8,-28,5,29.36,0.5,9,0.095,2,0.228,1.0,1.01
link_00061,base,6,-20,4,11.25,0.5,3,0.15,6,0.306,2.0,0.68
link_00062,base,2,-28,4,11.55,0.2,3,0.124,4,0.257,2.0,0.69
link_00063,base,6,-27,3,24.4,0.4,8,0.073,4,0.291,1.0,0.69
link_00064,base,6,-28,5,39.02,0.2,13,0.137,6,0.341,2.0,0.85
link_00065,base,6,-20,2,38.69,0.2,12,0.09,2,0.373,0.5,0.38
link_00066,base,6,-27,3,32.82,0.2,10,0.106,8,0.382,1.0,1.94
link_00067,base,8,-29,5,16.45,0.4,5,0.107,2,0.383,0.5,2.37
link_00068,base,4,-29,2,9.9,0.3,3,0.074,2,0.247,2.0,1.13
link_00069,base,6,-27,3,24.56,0.4,8,0.121,8,0.221,1.0,2.31
link_00070,base,4,-20,2,31.94,0.3,10,0.115,6,0.448,0.5,0.15
link_00071,base,6,-20,2,32.12,0.5,10,0.119,8,0.483,2.0,1.09
