link_id,scenario,fiber_loss_db,splice_total_db,connector_total_db,total_loss_db,rx_power_dbm,margin_db,lpb_status,system_rise_time_ns,allowed_rise_time_ns,rtb_pass,top_contributor_1,top_contributor_2,top_contributor_3
link_00001,base,7.890000,0.512000,0.806000,9.708000,-7.708000,18.292000,PASS,0.663000,280.000000,true,fiber_loss_db,connector_total_db,splice_total_db
link_00002,base,0.642000,0.106000,2.128000,4.376000,-2.376000,22.624000,PASS,0.432100,280.000000,true,connector_total_db,splitter_loss_db,fiber_loss_db
link_00003,base,0.900000,0.066000,1.386000,4.352000,-0.352000,15.648000,PASS,0.422500,280.000000,true,splitter_loss_db,connector_total_db,fiber_loss_db
link_00004,base,6.840000,1.617000,1.792000,11.749000,-5.749000,16.251000,PASS,0.742000,280.000000,true,fiber_loss_db,connector_total_db,splice_total_db
link_00005,base,5.100000,0.928000,2.976000,10.004000,-4.004000,21.996000,PASS,0.655000,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00006,base,6.576000,0.430000,2.466000,9.972000,-1.972000,24.028000,PASS,0.564400,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00007,base,4.250000,0.154000,1.620000,6.524000,-2.524000,20.476000,PASS,0.485000,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00008,base,0.644000,0.071000,1.584000,4.299000,1.701000,17.701000,PASS,0.432200,280.000000,true,splitter_loss_db,connector_total_db,fiber_loss_db
link_00009,base,11.025000,0.900000,2.544000,16.469000,-8.469000,15.531000,PASS,0.767500,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00010,base,3.436000,0.630000,0.492000,5.558000,-1.558000,21.442000,PASS,0.571800,280.000000,true,fiber_loss_db,splitter_loss_db,splice_total_db
link_00011,base,9.020000,0.618000,0.808000,10.946000,-8.946000,6.054000,PASS,0.580400,280.000000,true,fiber_loss_db,connector_total_db,splice_total_db
link_00012,base,8.960000,0.651000,1.608000,12.719000,-6.719000,20.281000,PASS,0.624000,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00013,base,9.285000,0.870000,1.448000,12.103000,-10.103000,15.897000,PASS,0.709500,280.000000,true,fiber_loss_db,connector_total_db,splice_total_db
link_00014,base,6.171000,0.336000,0.452000,8.959000,-6.959000,18.041000,PASS,0.605700,280.000000,true,fiber_loss_db,splitter_loss_db,connector_total_db
link_00015,base,11.748000,1.001000,3.912000,17.661000,-13.661000,9.339000,PASS,0.791600,280.000000,true,fiber_loss_db,connector_total_db,splice_total_db
link_00016,base,3.432000,0.375000,0.602000,5.409000,0.591000,15.591000,PASS,0.571600,280.000000,true,fiber_loss_db,splitter_loss_db,connector_total_db
link_00017,base,0.454000,0.136000,0.708000,2.798000,-0.798000,25.202000,PASS,0.422700,280.000000,true,splitter_loss_db,connector_total_db,fiber_loss_db
link_00018,base,5.070000,0.393000,0.912000,8.375000,-4.375000,12.625000,PASS,0.501400,280.000000,true,fiber_loss_db,splitter_loss_db,connector_total_db
link_00019,base,8.810000,0.615000,0.550000,10.975000,-8.975000,16.025000,PASS,0.576200,280.000000,true,fiber_loss_db,splitter_loss_db,splice_total_db
link_00020,base,2.199000,0.274000,0.666000,3.639000,0.361000,24.361000,PASS,0.473300,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00021,base,11.991000,1.183000,2.112000,17.286000,-15.286000,8.714000,PASS,0.799700,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00022,base,4.130000,0.158000,1.968000,7.756000,-5.756000,10.244000,PASS,0.482600,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00023,base,0.844000,0.108000,0.868000,2.320000,-0.320000,26.680000,PASS,0.442200,280.000000,true,connector_total_db,fiber_loss_db,splitter_loss_db
link_00024,base,0.920000,0.144000,1.496000,3.060000,-1.060000,21.940000,PASS,0.446000,280.000000,true,connector_total_db,fiber_loss_db,splitter_loss_db
link_00025,base,7.172000,0.370000,1.912000,10.954000,-4.954000,21.046000,PASS,0.579300,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00026,base,7.460000,0.684000,1.408000,10.552000,-8.552000,13.448000,PASS,0.773000,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00027,base,10.641000,1.034000,2.304000,14.479000,-10.479000,14.521000,PASS,0.754700,280.000000,true,fiber_loss_db,connector_total_db,splice_total_db
link_00028,base,4.614000,0.973000,1.128000,7.715000,-5.715000,18.285000,PASS,0.630700,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00029,base,1.948000,0.177000,3.592000,6.217000,-0.217000,15.783000,PASS,0.497400,280.000000,true,connector_total_db,fiber_loss_db,splitter_loss_db
link_00030,base,15.650000,1.060000,0.446000,18.156000,-12.156000,10.844000,PASS,0.713000,280.000000,true,fiber_loss_db,splice_total_db,splitter_loss_db
