link_id,scenario,fiber_loss_db,splice_total_db,connector_total_db,total_loss_db,rx_power_dbm,margin_db,lpb_status,system_rise_time_ns,allowed_rise_time_ns,rtb_pass,top_contributor_1,top_contributor_2,top_contributor_3
link_00001,base_system_margin_db=0.00,7.890000,0.512000,0.806000,9.708000,-7.708000,21.292000,PASS,0.000000,0.000000,false,fiber_loss_db,connector_total_db,splice_total_db
link_00002,base_system_margin_db=0.00,0.642000,0.106000,2.128000,4.376000,-2.376000,25.624000,PASS,0.000000,0.000000,false,connector_total_db,splitter_loss_db,fiber_loss_db
link_00003,base_system_margin_db=0.00,0.900000,0.066000,1.386000,4.352000,-0.352000,19.648000,PASS,0.000000,0.000000,false,splitter_loss_db,connector_total_db,fiber_loss_db
link_00004,base_system_margin_db=0.00,6.840000,1.617000,1.792000,11.749000,-5.749000,21.251000,PASS,0.000000,0.000000,false,fiber_loss_db,connector_total_db,splice_total_db
link_00005,base_system_margin_db=0.00,5.100000,0.928000,2.976000,10.004000,-4.004000,23.996000,PASS,0.000000,0.000000,false,fiber_loss_db,connector_total_db,splitter_loss_db
link_00006,base_system_margin_db=0.00,6.576000,0.430000,2.466000,9.972000,-1.972000,27.028000,PASS,0.000000,0.000000,false,fiber_loss_db,connector_total_db,splitter_loss_db
link_00007,base_system_margin_db=0.00,4.250000,0.154000,1.620000,6.524000,-2.524000,25.476000,PASS,0.000000,0.000000,false,fiber_loss_db,connector_total_db,splitter_loss_db
link_00008,base_system_margin_db=0.00,0.644000,0.071000,1.584000,4.299000,1.701000,21.701000,PASS,0.000000,0.000000,false,splitter_loss_db,connector_total_db,fiber_loss_db
link_00009,base_system_margin_db=0.00,11.025000,0.900000,2.544000,16.469000,-8.469000,19.531000,PASS,0.000000,0.000000,false,fiber_loss_db,connector_total_db,splitter_loss_db
link_00010,base_system_margin_db=0.00,3.436000,0.630000,0.492000,5.558000,-1.558000,26.442000,PASS,0.000000,0.000000,false,fiber_loss_db,splitter_loss_db,splice_total_db
link_00011,base_system_margin_db=0.00,9.020000,0.618000,0.808000,10.946000,-8.946000,11.054000,PASS,0.000000,0.000000,false,fiber_loss_db,connector_total_db,splice_total_db
link_00012,base_system_margin_db=0.00,8.960000,0.651000,1.608000,12.719000,-6.719000,22.281000,PASS,0.000000,0.000000,false,fiber_loss_db,connector_total_db,splitter_loss_db
link_00013,base_system_margin_db=0.00,9.285000,0.870000,1.448000,12.103000,-10.103000,18.897000,PASS,0.000000,0.000000,false,fiber_loss_db,connector_total_db,splice_total_db
link_00014,base_system_margin_db=0.00,6.171000,0.336000,0.452000,8.959000,-6.959000,22.041000,PASS,0.000000,0.000000,false,fiber_loss_db,splitter_loss_db,connector_total_db
link_00015,base_system_margin_db=0.00,11.748000,1.001000,3.912000,17.661000,-13.661000,14.339000,PASS,0.000000,0.000000,false,fiber_loss_db,connector_total_db,splice_total_db
link_00016,base_system_margin_db=0.00,3.432000,0.375000,0.602000,5.409000,0.591000,20.591000,PASS,0.000000,0.000000,false,fiber_loss_db,splitter_loss_db,connector_total_db
link_00017,base_system_margin_db=0.00,0.454000,0.136000,0.708000,2.798000,-0.798000,27.202000,PASS,0.000000,0.000000,false,splitter_loss_db,connector_total_db,fiber_loss_db
link_00018,base_system_margin_db=0.00,5.070000,0.393000,0.912000,8.375000,-4.375000,15.625000,PASS,0.000000,0.000000,false,fiber_loss_db,splitter_loss_db,connector_total_db
link_00019,base_system_margin_db=0.00,8.810000,0.615000,0.550000,10.975000,-8.975000,18.025000,PASS,0.000000,0.000000,false,fiber_loss_db,splitter_loss_db,splice_total_db
link_00020,base_system_margin_db=0.00,2.199000,0.274000,0.666000,3.639000,0.361000,29.361000,PASS,0.000000,0.000000,false,fiber_loss_db,connector_total_db,splitter_loss_db
link_00021,base_system_margin_db=0.00,11.991000,1.183000,2.112000,17.286000,-15.286000,11.714000,PASS,0.000000,0.000000,false,fiber_loss_db,connector_total_db,splitter_loss_db
link_00022,base_system_margin_db=0.00,4.130000,0.158000,1.968000,7.756000,-5.756000,14.244000,PASS,0.000000,0.000000,false,fiber_loss_db,connector_total_db,splitter_loss_db
link_00023,base_system_margin_db=0.00,0.844000,0.108000,0.868000,2.320000,-0.320000,28.680000,PASS,0.000000,0.000000,false,connector_total_db,fiber_loss_db,splitter_loss_db
