link_id,scenario,fiber_loss_db,splice_total_db,connector_total_db,total_loss_db,rx_power_dbm,margin_db,lpb_status,system_rise_time_ns,allowed_rise_time_ns,rtb_pass,top_contributor_1,top_contributor_2,top_contributor_3
link_00001,base_splitter_loss_db=13.00,7.890000,0.512000,0.806000,22.208000,-20.208000,5.792000,PASS,0.000000,0.000000,false,splitter_loss_db,fiber_loss_db,connector_total_db
link_00002,base_splitter_loss_db=13.00,0.642000,0.106000,2.128000,15.876000,-13.876000,11.124000,PASS,0.000000,0.000000,false,splitter_loss_db,connector_total_db,fiber_loss_db
link_00003,base_splitter_loss_db=13.00,0.900000,0.066000,1.386000,15.352000,-11.352000,4.648000,PASS,0.000000,0.000000,false,splitter_loss_db,connector_total_db,fiber_loss_db
link_00004,base_splitter_loss_db=13.00,6.840000,1.617000,1.792000,23.249000,-17.249000,4.751000,PASS,0.000000,0.000000,false,splitter_loss_db,fiber_loss_db,connector_total_db
link_00005,base_splitter_loss_db=13.00,5.100000,0.928000,2.976000,22.004000,-16.004000,9.996000,PASS,0.000000,0.000000,false,splitter_loss_db,fiber_loss_db,connector_total_db
link_00006,base_splitter_loss_db=13.00,6.576000,0.430000,2.466000,22.472000,-14.472000,11.528000,PASS,0.000000,0.000000,false,splitter_loss_db,fiber_loss_db,connector_total_db
link_00007,base_splitter_loss_db=13.00,4.250000,0.154000,1.620000,19.024000,-15.024000,7.976000,PASS,0.000000,0.000000,false,splitter_loss_db,fiber_loss_db,connector_total_db
link_00008,base_splitter_loss_db=13.00,0.644000,0.071000,1.584000,15.299000,-9.299000,6.701000,PASS,0.000000,0.000000,false,splitter_loss_db,connector_total_db,fiber_loss_db
link_00009,base_splitter_loss_db=13.00,11.025000,0.900000,2.544000,27.469000,-19.469000,4.531000,PASS,0.000000,0.000000,false,splitter_loss_db,fiber_loss_db,connector_total_db
link_00010,base_splitter_loss_db=13.00,3.436000,0.630000,0.492000,17.558000,-13.558000,9.442000,PASS,0.000000,0.000000,false,splitter_loss_db,fiber_loss_db,splice_total_db
link_00011,base_splitter_loss_db=13.00,9.020000,0.618000,0.808000,23.446000,-21.446000,-6.446000,FAIL,0.000000,0.000000,false,splitter_loss_db,fiber_loss_db,connector_total_db
link_00012,base_splitter_loss_db=13.00,8.960000,0.651000,1.608000,24.219000,-18.219000,8.781000,PASS,0.000000,0.000000,false,splitter_loss_db,fiber_loss_db,connector_total_db
link_00013,base_splitter_loss_db=13.00,9.285000,0.870000,1.448000,24.603000,-22.603000,3.397000,PASS,0.000000,0.000000,false,splitter_loss_db,fiber_loss_db,connector_total_db
